@relation dataset_classification

@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute feature_17 numeric
@attribute feature_18 numeric
@attribute feature_19 numeric
@attribute feature_20 numeric
@attribute label numeric

@data
1.587398,-0.74053,-1.197426,-1.441719,-0.064317,0.081751,-4.070187,0.852081,2.961815,-1.463363,0.883017,-0.594521,1.664375,0.219645,2.629602,4.636924,-3.905894,-2.301728,-0.566374,4.72627,1
5.092641,-0.916477,-5.538151,-4.476479,6.046994,0.798887,2.504787,1.981433,9.397956,-20.670213,-0.656893,-2.859605,-1.235555,1.85241,3.520843,6.604661,1.103158,-0.155668,0.581532,6.338787,2
1.90149,0.704298,-2.932813,-1.121583,-2.017507,-0.312899,-0.546077,-1.761534,5.284995,2.844848,-1.48265,5.558095,0.086961,1.872256,-0.286608,1.195903,-4.340821,2.475976,0.736278,8.734115,1
0.227252,-3.311746,-0.685543,10.491911,1.413361,-0.803587,2.795254,0.12108,-0.546776,-0.855643,-1.254734,-2.594928,2.633626,-2.458728,-3.179087,-2.568691,-3.215178,-0.76162,1.850732,-5.004386,0
-2.505285,1.599216,-0.280711,4.327519,1.446468,0.316733,0.973359,1.366973,2.947062,8.236126,-1.377552,2.497554,-0.365594,-4.159857,-0.563391,-2.612249,-6.422179,0.936226,2.34111,1.461581,4
-0.897539,-0.365301,2.145479,4.637094,3.139821,0.101282,7.157761,3.006449,10.086539,-7.477421,-1.282933,-2.616961,3.632138,-0.482055,-1.003602,4.148829,0.273036,-1.840313,-1.316663,-1.069504,2
3.461149,3.639058,0.732125,-13.037179,-4.245684,-0.931846,2.594676,5.937551,7.023645,7.337957,0.631563,5.241336,-0.110298,-2.219783,0.287447,-1.388702,2.455967,-1.245563,1.213942,6.927022,0
1.184946,2.864915,-1.193168,-5.810277,-2.908815,0.776075,-0.081529,2.083038,5.723368,6.514511,0.319823,4.201123,2.578778,-1.10431,-1.023939,0.166712,0.168665,-0.401018,0.137558,6.066522,0
-1.716841,0.522848,0.184267,3.669598,-0.28628,1.046035,0.866461,1.141809,10.483949,8.38919,-0.288422,2.320195,2.136304,3.23174,-3.82269,1.024728,-5.535235,-1.858603,-1.451357,6.7351,3
-1.808458,2.002747,-0.447997,-2.206795,0.893194,-0.818283,-1.308983,3.315854,3.978474,7.676982,-0.526329,1.472786,-2.653597,-0.963082,-0.457588,0.818465,-1.985035,-1.693945,0.24057,5.125062,3
1.437919,-1.589314,-3.019,2.309351,-1.156477,1.557402,-2.106888,-4.598531,-7.225814,-1.10521,-1.568079,2.615304,0.633461,-1.425796,0.886974,-3.124385,-1.626829,-1.506629,0.668738,-2.212593,2
-3.071977,0.422663,-2.634739,8.02491,-3.121489,-0.538201,4.456902,2.836802,-2.996594,0.022491,-0.35095,0.214572,0.803462,-5.798189,3.54099,4.24948,-0.996214,1.447367,-0.659055,-1.695052,3
3.080042,-1.337931,-2.042482,-2.46563,-0.466879,-0.427856,1.706055,1.252571,4.133606,-0.708111,1.095209,2.327479,1.041903,0.921643,0.043163,-2.392743,-2.25444,0.74721,-0.269251,2.601014,2
-2.663005,1.76273,-1.716659,4.410126,-3.146625,-0.528875,1.281153,2.882768,-0.426503,7.133404,-0.358156,1.081548,1.501405,-4.610518,-0.02582,2.109661,-0.882359,-1.636812,0.978626,1.055629,3
-0.958109,0.845339,4.623242,3.890544,-1.402842,-0.01488,1.924101,-2.075928,1.953582,4.656588,-1.862321,1.038839,0.665828,0.927566,-0.637646,-2.830268,-5.348933,-0.61284,1.838903,-0.774151,0
-0.558822,3.163323,0.894127,-9.710673,3.83112,-0.061924,-5.216833,-1.690839,2.893761,1.774755,-1.625363,3.874787,0.622373,-1.723581,-0.318042,1.878592,3.027091,-0.060768,-0.821629,3.72396,3
0.992952,-1.527507,-1.574866,-3.727724,3.021229,1.389688,-1.369057,1.814493,7.264377,-3.050456,-1.062173,-0.591197,3.403527,3.189857,0.297347,0.468841,-1.45128,-0.23334,0.324766,2.116626,1
-3.867762,2.601779,2.607669,3.519068,-1.16464,0.523274,1.490283,-1.10669,-2.602998,10.185911,1.560428,3.536026,1.529569,-5.402517,-3.521818,-2.211873,1.714752,1.016191,0.365862,-3.290673,0
3.439748,-0.294508,2.4902,-4.739943,-5.701647,-0.865387,-3.580642,-2.566787,-9.610257,-2.362794,-1.041011,-0.342048,1.674467,-1.576804,5.138127,-0.384863,0.720563,-0.092578,1.036675,-3.659443,2
2.275552,0.803611,1.570508,-12.412675,2.690676,-1.119678,-1.841157,2.714085,8.104471,-0.927897,0.574129,2.750184,1.659106,0.610182,2.291539,0.458143,-0.004539,-0.327955,-1.14073,4.122421,1
0.494463,0.906179,5.558813,-2.141491,-1.12637,-0.221004,-1.93174,-0.830708,1.534201,2.884074,-0.872178,0.785229,-0.104167,-0.379829,1.532851,2.140846,-3.189656,-0.889622,-1.543514,1.843575,0
-1.396349,2.671946,1.115395,-6.818592,0.155648,-0.409644,-1.034408,-0.904048,3.345589,5.341344,-0.520285,3.311344,3.458117,1.860142,-0.778237,-4.612829,0.963051,0.878523,-0.183563,-0.152823,3
