feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,label
-5.198107,-8.075017,2.035417,-0.828966,-7.275726,0.572036,-6.436922,9.631367,-6.396062,1.067393,-3.212307,1.815833,5.325918,-8.986894,11.136649,4.502057,12.304731,7.157975,2
-2.685751,-11.579822,2.365327,-2.390924,-11.104441,-0.387452,-8.753895,6.399961,-5.268556,2.213356,-6.291197,1.525486,2.834839,-4.678997,9.376544,3.574093,8.057215,9.527346,2
-0.710171,-2.780691,-0.814821,-6.327625,-3.796165,-1.748971,-2.788162,5.864836,-6.973797,2.372121,1.67476,-10.27109,0.169218,-4.84382,-6.736575,12.824521,8.668516,4.14205,1
-3.522903,0.928527,6.246614,-1.893582,2.421607,1.127752,-1.106979,-1.93927,-8.679754,-4.913542,-12.972443,5.831271,-5.244607,-2.483632,6.401961,-4.491468,-1.065256,3.110434,5
-7.374114,-8.525317,5.117654,-0.565308,-8.380339,-1.172237,-9.683367,8.909852,-4.120075,4.367449,-2.122897,0.628568,4.386389,-4.979494,7.904725,6.172213,9.860351,9.416227,2
-8.176829,4.393418,7.790708,0.951189,2.722539,-0.66522,-0.766969,-1.055417,-10.398185,-7.748308,-10.479609,2.205455,-3.57778,-3.053144,6.704053,-7.431762,-4.763005,9.830079,5
-11.695354,5.072064,6.602494,4.877175,6.546627,-9.079462,-2.353274,-6.361729,8.58149,2.766508,-2.898426,-11.976672,-3.812381,0.226079,2.92605,1.161569,5.435563,0.153001,4
-1.838781,11.286035,5.43754,1.584454,-7.256997,-6.014556,-9.260556,9.762525,-0.582374,6.589739,-13.335112,9.688402,5.986767,-8.785929,-10.483539,-8.526939,-3.823786,-0.70924,0
-4.499229,-7.094607,2.126502,-3.812412,-8.885638,0.648884,-9.147205,11.088699,-2.355642,4.021025,-3.456888,1.137664,-0.017161,-5.615162,6.087344,5.734268,10.010187,9.115695,2
-8.28918,4.743012,7.458392,3.229754,6.480166,-1.618367,-1.404904,-0.300945,-8.316227,-6.245333,-9.526862,7.710236,-4.187131,0.57661,6.595639,-3.241964,-0.283254,6.145909,5
-2.667036,-2.508101,1.22673,-5.145698,-3.634408,-4.471876,0.997131,6.905592,-4.21511,-0.079544,3.050554,-5.230015,2.493699,-7.386803,-5.611049,10.311929,8.411667,9.6382,1
0.40532,9.029406,-9.782809,-0.824403,-9.768993,-2.373694,-5.620942,-2.937174,4.620254,-3.20458,-2.62006,0.285883,-9.453885,5.864906,-10.641339,9.025762,5.669384,-5.123962,3
-0.117178,5.954275,-6.337413,-5.762603,-9.385997,-1.671726,-4.825436,-5.627964,7.955545,-1.267929,-4.204721,-1.447266,-5.520942,4.044909,-10.182932,9.402247,2.690698,-11.668074,3
-9.627692,6.803987,3.781231,3.711437,3.992558,-10.299545,-4.255085,-7.338884,4.06492,4.33945,-3.815582,-9.924101,-6.26675,-1.370399,0.781478,5.419465,5.763045,-4.014665,4
-5.794974,-10.838112,3.816992,-0.619304,-8.405666,-0.491216,-10.812393,8.572267,-5.730405,2.171108,-6.11009,3.817353,-0.815711,-4.854928,8.906885,6.150334,8.686121,6.895124,2
-7.47229,4.454777,6.262943,3.269191,5.319697,0.078076,1.343479,-0.000147,-9.923272,-9.168897,-5.20144,1.053305,-2.22649,1.065409,8.973817,-7.748977,-1.266732,7.177196,5
-6.453361,-5.543777,5.712973,-1.710924,-8.353649,1.815946,-9.427795,9.982615,-2.705502,1.738806,-6.755086,0.197136,2.717129,-6.40352,11.438958,3.238564,5.119215,8.047435,2
-1.633315,-4.281086,2.787177,-7.654426,-1.82569,-2.894152,-2.165236,5.541925,-8.2093,4.311334,3.159322,-9.096241,4.983812,-6.999607,-8.765892,7.569409,7.431544,6.589598,1
1.255255,-8.221064,1.674883,-5.948277,-1.495294,-3.512717,-1.309341,5.893088,-4.682829,-2.786385,-2.182464,-6.561891,0.170748,-2.344198,-10.426113,8.607795,10.04984,1.904033,1
0.662836,6.538655,8.905946,-1.931006,-7.183197,-5.703475,-8.276344,6.078124,1.606056,3.17545,-10.76704,11.097401,7.362884,-7.139037,-4.564301,-5.717311,-2.289431,1.754386,0
-8.905111,6.370556,3.513088,1.783666,8.121485,-1.306737,-2.813044,-1.81496,-10.604666,-7.737843,-8.107271,0.731757,-4.1709,0.520835,7.272979,-2.759351,-5.685581,8.450211,5
-7.69351,1.224295,4.421202,2.51888,7.371024,0.646559,3.038469,-0.430138,-8.176078,-5.188602,-13.288359,4.853523,-4.942276,0.408758,10.393344,0.0023,-4.781903,5.737911,5
-6.557091,3.775754,4.894767,5.369745,6.253729,-7.654445,-1.045874,-7.901926,5.482005,0.171511,-2.376738,-7.498749,-0.59378,-4.587358,3.167415,3.538491,3.8851,-1.618978,4
-2.022629,8.98963,6.877508,4.147171,-6.064595,-6.738178,-12.196543,3.895612,2.186122,5.91072,-6.924818,7.61872,3.630376,-3.887299,-7.992884,-9.486046,-4.902511,-0.527069,0
-5.655661,2.241167,3.618616,5.713925,4.442509,1.187051,-2.969331,1.658317,-8.260399,-10.542449,-8.900256,2.612608,-3.171292,-1.789881,8.4149,-8.334785,-1.783823,4.74113,5
-1.111988,9.544344,0.756539,1.166774,-7.151954,-6.783126,-11.479493,5.797492,0.776413,3.0901,-10.626305,9.132931,7.268126,-2.204766,-4.621723,-3.698183,-4.876667,-1.512718,0
-0.805569,-6.81329,2.541641,-7.994172,-3.773193,-5.578546,-0.482159,2.149719,-5.464061,0.105898,-1.898859,-9.097794,3.547666,-7.477324,-11.301082,8.119342,4.778905,6.800306,1
2.006202,-6.50047,2.882624,-10.346029,-2.415506,-0.503232,-0.843432,5.571912,-4.384606,-0.934521,4.026014,-8.477936,-0.995175,-2.896138,-8.330945,8.301314,9.643378,4.731159,1
-4.202193,10.230181,3.128881,1.769196,-3.985739,-8.201778,-11.984306,5.218429,4.010898,4.670914,-9.846065,8.380009,7.619573,-7.451427,-5.75217,-7.794419,-5.710474,-0.779846,0
2.658894,4.865712,-9.534806,-5.487919,-9.694477,-0.578561,-2.897044,-3.48971,7.641983,-3.296132,-4.445156,0.321921,-3.368147,8.218089,-3.950311,9.487323,1.810859,-10.450291,3
